POSTCODE,Remoteness_Code,Remoteness_Name,RATIO,PERCENTAGE
2867,12,Outer Regional Australia,1,100
2868,12,Outer Regional Australia,1,100
2869,12,Outer Regional Australia,1,100
2870,12,Outer Regional Australia,1,100
2871,12,Outer Regional Australia,1,100
2873,13,Remote Australia,1,100
2876,12,Outer Regional Australia,1,100
2898,14,Very Remote Australia,1,100
2902,80,Major Cities of Australia,1,100
2903,80,Major Cities of Australia,1,100
2904,80,Major Cities of Australia,1,100
2905,80,Major Cities of Australia,1,100
2906,80,Major Cities of Australia,1,100
2911,80,Major Cities of Australia,1,100
2912,80,Major Cities of Australia,1,100
2913,80,Major Cities of Australia,1,100
2914,80,Major Cities of Australia,1,100
3000,20,Major Cities of Australia,1,100
3002,20,Major Cities of Australia,1,100
3003,20,Major Cities of Australia,1,100
3004,20,Major Cities of Australia,1,100
3005,20,Major Cities of Australia,1,100
3006,20,Major Cities of Australia,1,100
3008,20,Major Cities of Australia,1,100
3010,20,Major Cities of Australia,1,100
3011,20,Major Cities of Australia,1,100
3012,20,Major Cities of Australia,1,100
3013,20,Major Cities of Australia,1,100
3015,20,Major Cities of Australia,1,100
3016,20,Major Cities of Australia,1,100
3018,20,Major Cities of Australia,1,100
3019,20,Major Cities of Australia,1,100
3020,20,Major Cities of Australia,1,100
3021,20,Major Cities of Australia,1,100
3022,20,Major Cities of Australia,1,100
3025,20,Major Cities of Australia,1,100
3026,20,Major Cities of Australia,1,100
3027,20,Major Cities of Australia,1,100
3028,20,Major Cities of Australia,1,100
3031,20,Major Cities of Australia,1,100
3032,20,Major Cities of Australia,1,100
3033,20,Major Cities of Australia,1,100
3034,20,Major Cities of Australia,1,100
3036,20,Major Cities of Australia,1,100
3037,20,Major Cities of Australia,1,100
3038,20,Major Cities of Australia,1,100
3039,20,Major Cities of Australia,1,100
3040,20,Major Cities of Australia,1,100
3041,20,Major Cities of Australia,1,100
3042,20,Major Cities of Australia,1,100
3043,20,Major Cities of Australia,1,100
3044,20,Major Cities of Australia,1,100
3045,20,Major Cities of Australia,1,100
3046,20,Major Cities of Australia,1,100
3047,20,Major Cities of Australia,1,100
3048,20,Major Cities of Australia,1,100
3049,20,Major Cities of Australia,1,100
3050,20,Major Cities of Australia,1,100
3051,20,Major Cities of Australia,1,100
3052,20,Major Cities of Australia,1,100
3053,20,Major Cities of Australia,1,100
3054,20,Major Cities of Australia,1,100
3055,20,Major Cities of Australia,1,100
3056,20,Major Cities of Australia,1,100
3057,20,Major Cities of Australia,1,100
3058,20,Major Cities of Australia,1,100
3059,20,Major Cities of Australia,1,100
3060,20,Major Cities of Australia,1,100
3061,20,Major Cities of Australia,1,100
3062,20,Major Cities of Australia,1,100
3065,20,Major Cities of Australia,1,100
3066,20,Major Cities of Australia,1,100
3067,20,Major Cities of Australia,1,100
3068,20,Major Cities of Australia,1,100
3070,20,Major Cities of Australia,1,100
3071,20,Major Cities of Australia,1,100
